link_text,main_image_src,description_text
"Uber CEO Dara Khosrowshahi once tried delivering food, but struggled with finding addresses",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/uber-020449-16x9_0.jpg?VersionId=G4Crr4GAEy1kwBSKzI1WHCSs9xNTr86h&size=690:388,"Listen to Story Getting a firsthand taste of life on the other side, Uber's CEO, Dara Khosrowshahi, took on the role of a delivery driver to gain insights into the challenges faced by those who work for his company. This experience shed light on the complexities of being an Uber driver, especially when it comes to food delivery. In a recent interview with The Wall Street Journal, Khosrowshahi revealed his struggles with delivering food rather than transporting riders. He recounted a particular incident where he found it perplexing to locate the drop-off point for a food order. Navigating through intricate apartment complexes turned out to be a daunting task, highlighting one of the major challenges faced by delivery drivers. Uber has been working to tackle this issue by providing more precise drop-off pins to users. Despite the difficulties, Khosrowshahi's experience wasn't entirely negative. He shared an amusing anecdote about delivering food to a touch football game. Instead of a building, he found himself on a field surrounded by a group of people playing the game. Moments like these revealed the diverse scenarios that drivers encounter during their shifts. Khosrowshahi emphasized the importance of understanding the challenges faced by Uber drivers. He believes that fostering better working conditions starts with corporate employees immersing themselves in the driver experience and gaining firsthand knowledge of the job. This approach aligns with his previous move to become an Uber driver himself in September, aiming to grasp the reasons behind a slowdown in driver recruitment. During his stint as an Uber driver, Khosrowshahi unveiled several surprising aspects of the job. Delivering food on an electric bike brought attention to the practice of ""tip-baiting,"" where customers initially promise substantial tips but later reduce them post-delivery. This practice, drivers argue, affects their ability to earn a fair wage. Additionally, driving riders to their destinations exposed him to a range of experiences, from passengers sharing personal problems to discussing confidential corporate matters. The challenges faced by Uber drivers aren't limited to just the nature of the job. Passengers have been known to be disruptive, causing disturbances, leaving behind messes, and being tardy. In response to concerns about driver compensation, some local governments have taken steps to address the issue. New York City recently passed a law requiring delivery drivers to earn a minimum of $18 per hour, while Minneapolis is considering a bill to raise the pay of rideshare drivers. Khosrowshahi's venture into the driver's world highlighted the multifaceted challenges these workers encounter. However, even as he confronted the difficulties faced by drivers, he was taken aback by a different perspective as a passenger. A short Uber ride in New York City turned out to be much more expensive than expected, showing that the intricacies of the ride-sharing world can surprise even those at the top."
"IBM CEO says ChatGPT-like AI models will impact white collar work, make companies more productive",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/ibm-221921-16x9.jpg?VersionId=YZJV3fNGUsbJ.U0237d66CeTRI5ugllR&size=690:388,"Listen to Story IBM's chairperson and CEO, Arvind Krishna, has stated that generative artificial intelligence (AI) models, including ChatGPT and Google Bard, can enhance productivity, although they might impact ""back office, white-collar"" work. In an interview with CNBC, Krishna also pointed out the declining or stable population growth in developed countries and expressed that AI technologies could ensure a ""quality life."" These remarks from the IBM CEO come amid the American tech giant's renewed efforts to capitalise on the AI boom. Recently, IBM introduced WatsonX - a suite of generative AI platforms designed to assist enterprises in safely harnessing this technology. During the interview, Krishna also stated that AI models, like ChatGPT, can help with productivity with fewer employees. He said, ""That means you can get the same work done with fewer people. That's just the nature of productivity. I actually believe that the first set of roles that will get impacted are — what I call — back office, white-collar work.""  The IBM CEO was mainly referring to the job trends in developed economies. He suggests there is ""a disinflation in the demographics,"" leading to a decline in the size of the working-age population. He was also clarifying his old remarks about IBM's evolving work practices and potential job cuts at the company.   In a separate interview in May, Krishna said that IBM might replace 30 per cent of jobs with AI or some form of automation technology. As a result, many feared that the company would cut 7,800 jobs in the next five years. Clarifying his old statement, Krishna suggested that new technology replace office work, which also happens at IBM. He notes: ""What I said was we are not going to backfill those roles for the next five years. I said, hey, if I dig that we normally churn (jobs) five-six per cent a year, over five years, that's about 30 per cent of those roles will not need to get backfilled. Labour or AI bots augmenting and working alongside their fellow humans doing that work. So, that is where the 7800 came from. Similar remarks have come from Microsoft CEO Satya Nadella and Google chief Sundar Pichai. Both CEOs have stated that AI would serve as an enabler and eliminate mundane tasks. However, some tech experts also expressed concerns that AI technology, particularly freely accessible chatbots like ChatGPT, might lead to unintended consequences, including racial bias. The pioneers of this technology, including OpenAI - the creator of ChatGPT, believe that a certain level of government regulation is crucial."
,,Thanks For Reading! Find out More..
Alia Bhatt serves the ultimate monochrome look in Rs 26k cropped jacket with pants,https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/alia-bhatt-in-a-black-pantsuit-224543-16x9.png?VersionId=jihHYSEFlmTtWSgmPKzKJTxG9_yEcPi_&size=690:388,"Listen to Story Alia Bhatt's streak in chiffon sarees has already been etched as a milestone in Indian fashion history. The diva, who mesmerised fashionistas with her simple yet chic sense of style, aced a monochrome look at her latest photoshoot.  After her stunning promotional looks for Rocky Aur Rani Kii Prem Kahaani, Alia is back to the basics, yet keeping it trendy with panache.  She wore a black cropped jacket with matching pants and a cropped white tank top. The jacket had a loose-fitting silhouette and bore the logo of the designer duo Shantanu and Nikhil. Adding a classy tone to the outfit, Alia went in with bronzed makeup and dainty gold jewellery. Stylish Ami Patel shared gorgeous pictures of the actress on Instagram and wrote, ""Not just another black pant suit.""  With light smokey eyes and mascara, Alia opted for a highlighter and bronzer for a luminous effect. She added nude lips to tone down the bright hues and matched them with small gold hoops and dainty gold rings.  Don't we all just love how Alia's basic approach to fashion is not just trendy but minimalistic and simple? Her cropped jacket costs Rs 26,500. The pants, however, range between Rs 8,500 to Rs 10,500.  The highlighting feature of this captivating ensemble is, however, Alia's hairstyle. The diva makes sure to keep it mid-length and wavy as it enhances her facial cut and adds volume to her hair.  Meanwhile, on the work front, Alia will now feature Jee Le Zaraa co-starring Priyanka Chopra and Katrina Kaif. 
 "
05,,"Kareena Kapoor was spotted at Mumbai airport with actress Neha Dhupia after attending an event in New Delhi. Kareena Kapoor flaunted a stunning white and blue kurta set, which screamed minimalism. This basic monotone outfit, called Ivory Boond Nova Set, is by the brand Anavila and costs Rs 20,000. She aced this simple attire by adding a pair of blue loafers, which transformed the look into a fuss-free silhouette.  A pair of dark sunglasses and a tan brown handbag, which is by the brand Loro Piana and costs Rs 3 lakh, amped up the otherwise banal ensemble. Neha Dhupia, on the other hand, chose an athleisure look in black and white to add to her fashion airport diaries."
Ariana Grande and Demi Lovato no longer working with manager Scooter Braun: Report,https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/ariana-grande-and-demi-lovato-have-allegedly-parted-ways-from-scooter-braun-222806-16x9.png?VersionId=1DuusMHRSw8N1b5eUoivAhnRstwpsZA_&size=690:388,"Listen to Story Singers Demi Lovato and Ariana Grande have parted ways from manager Scooter Braun, as per reports.  The singers are currently seeking new management, according to a report by Billboard, following their recent departure from manager Scooter Braun. Demi Lovato had been associated with Braun and his SB Projects company since 2019 before she was managed by Phil McIntyre of PhilyMack.  Though Lovato desired a new direction, she expressed gratitude for her time with SB Projects. At present, Lovato has not finalised any new management, but she is exploring potential options.  Under Braun's management, Lovato released two albums – her 2021 Dancing with the Devilâæ the Art of Starting Over, which reached the No. 2 spot on the Billboard 200 albums chart, and the second, 2020's pop-punk album Holy Fvck, which peaked at No. 7 on the same chart.  Lovato has achieved significant success in her career, with 36 songs on the Billboard Hot 100 since 2008, including four top 10 hits. Furthermore, all eight of her studio albums have debuted in the top 10 of the Billboard 200, with 2009's Here We Go Again even reaching No. 1. Fans of Lovato are looking forward to her upcoming release, Demi Lovato Revamped, set to come out on September 15. This album features rock versions of her biggest hits, including Heart Attack, Sorry Not Sorry featuring Slash, Cool For the Summer, and more. Ariana Grande has also parted ways with her longtime manager Scooter Braun, as reported by Puck News on Monday.  Grande had been with Braun and his SB Projects since 2013 when she released her debut album, Yours Truly. She had previously praised Braun as an incredible businessman who was passionate about her project in a 2013 interview with Elle. Grande briefly fired Braun in 2016, which he attributed to ""s—-y boyfriends."" In a 2018 interview with Variety, Braun revealed that he had waited for Grande to come back to him, and when she did, they had an honest conversation. Their relationship was further solidified when Braun assisted Grande in organising a benefit concert in Manchester following the 2017 terrorist attack at her show. SB Project's artist roster still includes Justin Bieber, a longstanding client of Braun's.  It is important to note that in 2021, Braun sold SB Projects' parent company, Ithaca Holdings, to the South Korean entertainment giant HYBE. Despite the sale, SB Projects continues to operate under HYBE, with Braun assuming the role of HYBE America's CEO.  Earlier this year, Braun assisted HYBE in acquiring the leading hip-hop label Quality Control."
"Today Taurus Horoscope, August 23, 2023: Maintain humility!",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/taurus-horoscope-070453-16x9_15.jpg?VersionId=QKcpAzJNfhuBfzZPwsZXw8o_QWdrhgBz&size=690:388,"Listen to Story What will your day look like in terms of health, romance, finance and fortune? Read everything here. Monetary gains: Stay vigilant in policies and rules. Work-life balance will be maintained. Job and profession will be better. Situations will remain normal. Don't rely blindly on rumours. Commercial matters will remain balanced. You will enhance control over situations. Avoid debt-related issues. Consistency will be maintained in all areas. You will work diligently. Display patience in financial transactions. Utilise opportunities. Work with dedication. Avoid arguments. Love life:  Show patience in expressing your thoughts. Wait for the right opportunity. You can make valuable contributions. Relationships will strengthen. You will infuse energy into relationships. Close ones and friends will be content. You will handle disagreements intelligently. Your efforts in love and affection will be positive. Listen to loved ones. Health: You will emphasise organisation. You will increase clarity. Your enthusiasm and mental strength will be high. You will enhance smart working. You will maintain resilience. Avoid pretentiousness. Lucky numbers: 2,5,6 Lucky colour: Blue"
"Today Libra Horoscope, August 23, 2023: Joy and happiness will prevail!",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/libra-horoscope-071846-16x9_15.jpg?VersionId=Z_ZaXNx503UCvIuR7RLFnd9wUYAuSdhq&size=690:388,"Listen to Story What will your day look like in terms of health, romance, finance and fortune? Read everything here. Monetary gains: Significant activities will be in your favor. Growth will be seen in various efforts. Clear communication of good news will persist. Time will improve swiftly. Desired outcomes will be achieved in career and business. Your professional network will expand. You will meet skilled individuals. Your reputation will increase. Economic and business opportunities will be well utilised. Personal efforts will be rewarded. Your popularity graph will rise. You will impress everyone with your courage and determination. Hesitation will disappear. You will manage administration and governance effectively. Love life: Everyone will remain content with love and affection. Mutual understanding will increase. You will receive support for proposals. You will meet your beloved. Family will remain supportive. Private relationships will see improvements. Your communication will remain attractive. Friendships will strengthen. Relationships will become more close-knit. Shared matters will gain strength. Health: Show respect to elders. You will maintain self-confidence. Health will show improvement. You will stay focused. Your mental strength will be high. Your lifestyle will be appealing. Living conditions will be organised. Lucky numbers: 2,5,6 Lucky colour: Yellow "
"Today Scorpio Horoscope, August 23, 2023: Stay goal-oriented!",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/scorpio-horoscope-072653-16x9_15.jpg?VersionId=Okfn3kkEdyEgQ1otnu9PTqTFbSLKjNeM&size=690:388,"Listen to Story What will your day look like in terms of health, romance, finance and fortune? Read everything here. Monetary gains: You will focus on career-related plans. Preparation will be increased. Activity will be visible in work matters. The state of your career and business will remain normal. You will be vigilant about profit. You will be cautious of adversaries. Pay attention to expenses and investments. Planned expenditures will increase. Avoid overlooking minor details. Enhance simplicity and alertness. Be cautious in professional discussions. You will develop an interest in business activities. Love life: Simplicity will increase in emotional matters. Manage contacts and communication. Friendships will be strong. You will maintain patience in personal matters. You will make time for loved ones. Improvements will be seen in relationships. Strengthen the weaknesses of loved ones. Relationships will remain ordinary. Meetings and gatherings will take place. Avoid pretense. Health: Maintain alertness. Exercise caution in changing weather conditions. Discipline will be embraced. Your enthusiasm and morale will remain high. Stay alert to signals. Health will remain satisfactory. Don't ignore any symptoms. Lucky numbers: 8,9 Lucky colour: Moonlight "
05,,"Samantha Ruth Prabhu featured a rustic and embroidered-filled outfit, by designer Ritu Kumar from her latest collection, for an event in New York City.  The actress shared gorgeous pictures on Instagram on Monday (August 21). The Ritu Kumar ensemble had a heavily embroidered velvet based blazer paired with a long ethnic shrug. Samantha also wore maroon embroidered palazzo pants and a corset top with a plunging neckline. Her stunning necklace by Bespoke Vintage Jewels perfected the outfit even more with its old-world charm adored with semi-precious stones.  Amping up the style quotient, Samantha wore brown-tinted round sunglasses.  In the caption of her post, Samantha wrote, ""They say New York is where dreams are made. I started my career when I shot for my first film here…. A scared little girl without a clue about how she was going to make it… but daring enough to dream the big dream! Today, 14 years later."""
,,Thanks For Reading! Find out More..
,,Thanks For Reading! Find out More..
Khrisha Ambani shares beautiful unseen pics from wedding with Anmol Ambani,https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/krisha-ambani-with-her-husband-anmol-ambani-222556-16x9.jpg?VersionId=njr0inE2PWkifatJvKw6tHVH.Vsi0cVi&size=690:388,"Listen to Story Khrisha Ambani, who is the daughter-in-law of Anil Ambani and Tina Ambani, shared a special post for her husband Jai Anmol Ambani on Monday, August 21.   She posted a string of unseen pictures from her wedding festivities with Anmol and, in the caption, added three poems by Rumi.  ""In your light I learn how to love. In your beauty, how to make poems. You dance inside my chest where no-one sees you, but sometimes I do, and that sight becomes this art,"" Khrisha wrote, quoting Rumi's poem.  Her second poem included, ""The power of love came into me, and I became fierce like a lion, then tender like the evening star."" She also wrote, ""Lovers find secret places inside this violent world where they make transactions with beauty.' All poetry above by Rumi,"" quoting another poem by Rumi.  The pictures show the couple's beautiful chemistry from their wedding festivities. In the first image, Khrisha is seen laughing while Anmol looks at her with love. Another picture shows a beautiful moment between the couple from their wedding ceremony. While Anmol carries Khrisha in one of the images, the couple enjoys a hearty moment from their post-wedding ceremony in another. Anmol Ambani is the elder son of industrialist Anil Ambani and Tina Ambani. Khrisha Shah, on the other hand, is the CEO and co-founder of Dysco, a social networking website.  Anmol and Khrisha got married on February 20, 2022, in Mumbai.  The couple's wedding took place at Anil Ambani's home, Sea Wind, at Cuffe Parade in Mumbai and was attended by many celebrities. Amitabh Bachchan, Jaya Bachchan, Shweta Bachchan Nanda, Rima Jain, and fashion designer Sandeep Khosla, among others, were a part of the celebrations."
"Today Capricorn Horoscope, August 23, 2023: Dedication towards goals will continue!",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/capricornjpg-014043-16x9_20.jpg?VersionId=kK_bi3s2ObWWGYDGy_uGC1YepXjr5u3T&size=690:388,"Listen to Story What will your day look like in terms of health, romance, finance and fortune? Read everything here. Monetary gains –  You will benefit from managerial tasks. Success rates will be managed. New financial sources will be developed. You will maintain momentum in work and business. There will be growth in opportunities for financial gains. You will succeed in competition. Substantial positivity will be present. You will receive attractive proposals and support. Plans will gain speed. You will handle management tasks effectively. Work will remain excellent. You will win the trust of everyone. Love life – Loved ones will be supportive. Emotional expressions will improve. Relationships will see improvements. Inner connections will gain strength. Mutual trust will increase. Efforts will be made for the well-being of loved ones. Awareness of beauty will increase. You will share joy and comfort. Happiness will persist at home.. Family members will remain content. Health- You will maintain discipline and order. You will handle tasks humbly. You will maintain activity and relationships. Agreements will advance. Health issues and imbalances will be resolved. Health will be well-maintained. Lucky numbers: 2,5,8 Lucky colour: Leaf"
